"","x"
"1817",25
"1818",22
"1819",25
"1820",18
"1821",25
"1822",4
"1823",16
"1824",20
"1825",24
"1826",25
"1827",25
"1828",25
"1829",2
"1830",25
"1831",25
"1832",15
"1833",19
"1834",14
"1835",2
"1836",2
"1837",2
"1838",25
"1839",16
"1840",2
"1841",16
"1842",2
"1843",25
"1844",2
"1845",9
"1846",17
"1847",25
"1848",19
"1849",19
"1850",25
"1851",22
"1852",2
"1853",25
"1854",12
"1855",2
"1856",2
"1857",24
"1858",20
"1859",24
"1860",25
"1861",25
"1862",25
"1863",2
"1864",2
"1865",3
"1866",25
"1867",3
"1868",5
"1869",25
"1870",22
"1871",2
"1872",4
"1873",25
"1874",17
"1875",25
"1876",25
"1877",25
"1878",14
"1879",24
"1880",13
"1881",25
"1882",25
"1883",25
"1884",25
"1885",2
"1886",25
"1887",1
"1888",25
"1889",25
"1890",22
"1891",19
"1892",2
"1893",12
"1894",3
"1895",1
"1896",25
"1897",5
"1898",20
"1899",2
"1900",24
"1901",25
"1902",3
"1903",2
"1904",25
"1905",2
"1906",25
"1907",2
"1908",18
"1909",1
"1910",20
"1911",25
"1912",7
"1913",17
"1914",25
"1915",3
"1916",17
"1917",2
"1918",1
"1919",25
"1920",25
"1921",25
"1922",14
"1923",24
"1924",24
"1925",1
"1926",14
"1927",25
"1928",25
"1929",2
"1930",16
"1931",15
"1932",25
"1933",20
"1934",19
"1935",25
"1936",3
"1937",25
"1938",3
"1939",24
"1940",24
"1941",24
"1942",3
"1943",2
"1944",25
"1945",9
"1946",25
"1947",3
"1948",25
"1949",3
"1950",24
"1951",3
"1952",14
"1953",25
"1954",19
"1955",20
"1956",25
"1957",21
"1958",25
"1959",25
"1960",25
"1961",25
"1962",25
"1963",3
"1964",24
"1965",6
"1966",23
"1967",24
"1968",25
"1969",25
"1970",25
"1971",1
"1972",3
"1973",25
"1974",14
"1975",2
"1976",18
"1977",25
"1978",1
"1979",9
"1980",14
"1981",25
"1982",25
"1983",8
"1984",18
"1985",24
"1986",24
"1987",25
"1988",24
"1989",24
"1990",19
"1991",1
"1992",25
"1993",24
"1994",16
"1995",20
"1996",25
"1997",1
"1998",3
"1999",2
"2000",25
"2001",1
"2002",3
"2003",20
"2004",19
"2005",23
"2006",4
"2007",1
"2008",2
"2009",25
"2010",12
"2011",2
"2012",2
"2013",11
"2014",5
"2015",1
"2016",2
"2017",1
"2018",20
"2019",2
"2020",25
"2021",23
"2022",12
"2023",9
"2024",6
"2025",6
"2026",1
"2027",23
"2028",2
"2029",18
"2030",3
"2031",24
"2032",25
"2033",3
"2034",19
"2035",3
"2036",2
"2037",14
"2038",20
"2039",21
"2040",2
"2041",2
"2042",18
"2043",24
"2044",24
"2045",25
"2046",2
"2047",20
"2048",24
"2049",25
"2050",23
"2051",2
"2052",19
"2053",20
"2054",22
"2055",2
"2056",22
"2057",25
"2058",14
"2059",1
"2060",24
"2061",3
"2062",19
"2063",25
"2064",25
"2065",17
"2066",21
"2067",25
"2068",25
"2069",20
"2070",16
"2071",25
"2072",2
"2073",2
"2074",25
"2075",2
"2076",16
"2077",21
"2078",19
"2079",2
"2080",19
"2081",3
"2082",25
"2083",2
"2084",25
"2085",25
"2086",25
"2087",3
"2088",25
"2089",24
"2090",17
"2091",25
"2092",3
"2093",25
"2094",12
"2095",2
"2096",2
"2097",17
"2098",22
"2099",24
"2100",25
"2101",15
"2102",14
"2103",25
"2104",25
"2105",24
"2106",25
"2107",25
"2108",21
"2109",25
"2110",17
"2111",3
"2112",2
"2113",2
"2114",24
"2115",25
"2116",3
"2117",24
"2118",3
"2119",15
"2120",25
"2121",2
"2122",24
"2123",21
"2124",2
"2125",16
"2126",19
"2127",16
"2128",25
"2129",19
"2130",24
"2131",25
"2132",2
"2133",25
"2134",25
"2135",17
"2136",19
"2137",25
"2138",3
"2139",2
"2140",22
"2141",20
"2142",23
"2143",23
"2144",10
"2145",25
"2146",2
"2147",5
"2148",22
"2149",25
"2150",14
"2151",2
"2152",9
"2153",25
"2154",24
"2155",25
"2156",25
"2157",25
"2158",24
"2159",25
"2160",24
"2161",24
"2162",15
"2163",25
"2164",24
"2165",3
"2166",20
"2167",25
"2168",2
"2169",2
"2170",15
"2171",25
"2172",25
"2173",24
"2174",25
"2175",15
"2176",24
"2177",17
"2178",25
"2179",19
"2180",14
"2181",25
"2182",24
"2183",25
"2184",24
"2185",3
"2186",1
"2187",25
"2188",3
"2189",25
"2190",17
"2191",25
"2192",15
"2193",25
"2194",17
"2195",21
"2196",2
"2197",25
"2198",25
"2199",4
"2200",25
"2201",25
"2202",23
"2203",25
"2204",24
"2205",24
"2206",17
"2207",15
"2208",3
"2209",23
"2210",25
"2211",17
"2212",2
"2213",2
"2214",25
"2215",25
"2216",9
"2217",21
"2218",2
"2219",3
"2220",18
"2221",3
"2222",25
"2223",25
"2224",25
"2225",24
"2226",25
"2227",2
"2228",19
"2229",1
"2230",25
"2231",25
"2232",24
"2233",18
"2234",25
"2235",21
"2236",18
"2237",12
"2238",25
"2239",2
"2240",24
"2241",20
"2242",1
"2243",24
"2244",2
"2245",18
"2246",3
"2247",2
"2248",25
"2249",25
"2250",24
"2251",3
"2252",25
"2253",25
"2254",2
"2255",24
"2256",25
"2257",3
"2258",16
"2259",24
"2260",25
"2261",24
"2262",1
"2263",25
"2264",25
"2265",25
"2266",4
"2267",1
"2268",3
"2269",19
"2270",24
"2271",17
"2272",25
"2273",7
"2274",21
"2275",24
"2276",3
"2277",20
"2278",16
"2279",1
"2280",25
"2281",25
"2282",25
"2283",19
"2284",2
"2285",24
"2286",20
"2287",2
"2288",2
"2289",21
"2290",6
"2291",3
"2292",25
"2293",25
"2294",6
"2295",2
"2296",25
"2297",3
"2298",23
"2299",25
"2300",2
"2301",14
"2302",25
"2303",25
"2304",25
"2305",25
"2306",24
"2307",4
"2308",19
"2309",2
"2310",3
"2311",1
"2312",13
"2313",25
"2314",7
"2315",20
"2316",16
"2317",25
"2318",25
"2319",25
"2320",2
"2321",25
"2322",24
"2323",25
"2324",25
"2325",25
"2326",2
"2327",3
"2328",14
"2329",25
"2330",25
"2331",20
"2332",22
"2333",25
"2334",1
"2335",1
"2336",25
"2337",3
"2338",25
"2339",1
"2340",25
"2341",25
"2342",9
"2343",25
"2344",25
"2345",19
"2346",23
"2347",2
"2348",25
"2349",25
"2350",2
"2351",3
"2352",4
"2353",3
"2354",19
"2355",18
"2356",24
"2357",25
"2358",24
"2359",25
"2360",25
"2361",25
"2362",25
"2363",25
"2364",3
"2365",2
"2366",13
"2367",24
"2368",2
"2369",25
"2370",19
"2371",4
"2372",2
"2373",2
"2374",2
"2375",9
"2376",3
"2377",3
"2378",2
"2379",25
"2380",25
"2381",15
"2382",20
"2383",24
"2384",18
"2385",19
"2386",19
"2387",24
"2388",17
"2389",24
"2390",19
"2391",2
"2392",2
"2393",14
"2394",18
"2395",19
"2396",15
"2397",25
"2398",19
"2399",3
"2400",25
"2401",25
"2402",9
"2403",2
"2404",25
"2405",25
"2406",1
"2407",2
"2408",9
"2409",25
"2410",25
"2411",3
"2412",16
"2413",2
"2414",25
"2415",21
"2416",3
"2417",20
"2418",22
"2419",25
"2420",24
"2421",19
"2422",10
"2423",25
"2424",2
"2425",16
"2426",25
"2427",25
"2428",25
"2429",17
"2430",2
"2431",3
"2432",25
"2433",12
"2434",3
"2435",19
"2436",25
"2437",25
"2438",10
"2439",14
"2440",24
"2441",24
"2442",25
"2443",4
"2444",25
"2445",2
"2446",24
"2447",19
"2448",25
"2449",19
"2450",25
"2451",2
"2452",25
"2453",19
"2454",1
"2455",17
"2456",3
"2457",25
"2458",25
"2459",24
"2460",21
"2461",11
"2462",22
"2463",3
"2464",25
"2465",9
"2466",10
"2467",16
"2468",7
"2469",16
"2470",25
"2471",24
"2472",2
"2473",23
"2474",25
"2475",25
"2476",25
"2477",1
"2478",25
"2479",2
"2480",2
"2481",3
"2482",3
"2483",1
"2484",3
"2485",24
"2486",25
"2487",2
"2488",24
"2489",25
"2490",24
"2491",2
"2492",2
"2493",4
"2494",25
"2495",1
