"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"644",2,6,14,3,10
"645",2,12,20,11,20
"646",20,20,20,16,6
"647",2,16,21,6,4
"648",2,22,20,3,23
"649",15,24,5,10,9
"650",18,24,24,22,7
"651",10,10,3,16,21
"652",18,18,17,11,8
"653",3,3,3,20,10
"654",18,18,8,9,10
"655",7,20,20,11,13
"656",21,21,22,10,3
"657",1,1,9,24,11
"658",7,4,4,23,6
"659",20,20,20,9,24
"660",9,3,3,20,14
"661",18,9,9,25,20
"662",2,24,10,17,21
"663",3,3,3,4,3
"664",3,3,3,4,13
"665",2,3,3,1,4
"666",12,11,9,13,3
"667",2,24,25,17,3
"668",21,3,14,16,17
"669",18,24,24,12,17
"670",15,18,23,5,3
"671",9,6,9,22,10
"672",2,25,16,2,24
"673",2,5,5,18,18
"674",2,3,4,1,14
"675",15,17,1,23,25
"676",2,16,6,22,5
"677",9,9,9,6,21
"678",2,19,8,14,3
"679",3,3,3,11,6
"680",18,3,3,25,15
"681",18,10,3,22,23
"682",15,5,17,25,3
"683",1,5,1,17,10
"684",7,10,4,22,4
"685",15,11,8,20,14
"686",3,3,3,9,6
"687",2,10,16,5,3
"688",7,23,15,5,16
"689",18,18,11,25,10
"690",20,11,24,2,11
"691",7,3,4,16,7
"692",15,19,8,24,10
"693",15,15,1,16,5
"694",2,7,7,1,6
"695",2,22,22,3,16
"696",20,20,20,15,3
"697",17,17,1,20,24
"698",15,15,17,1,22
"699",2,8,20,1,14
"700",7,4,4,24,3
"701",2,2,10,20,2
"702",17,17,17,22,22
"703",18,19,19,8,19
"704",2,2,2,10,11
"705",18,22,8,12,20
"706",2,5,3,4,3
"707",18,18,9,6,6
"708",2,3,3,4,3
"709",3,3,3,22,5
"710",18,19,18,9,6
"711",2,6,14,14,20
"712",3,3,4,3,25
"713",15,14,14,4,22
"714",2,22,22,2,3
"715",9,9,9,21,6
"716",7,14,14,10,11
"717",17,17,18,22,12
"718",2,24,6,23,5
"719",2,1,1,15,1
"720",18,17,20,10,4
"721",12,19,17,10,8
"722",17,17,1,16,8
"723",18,5,1,9,16
"724",2,3,2,11,3
"725",18,8,8,5,6
"726",7,22,20,8,17
"727",2,14,9,13,6
"728",20,21,20,3,4
"729",3,3,3,4,23
"730",15,17,9,13,19
"731",7,24,20,17,14
"732",2,25,22,6,14
"733",2,4,6,11,10
"734",1,1,25,6,6
"735",18,20,20,24,3
"736",18,9,9,20,23
"737",25,3,10,4,24
"738",10,10,10,3,17
"739",2,10,3,22,14
"740",2,16,21,25,21
"741",7,4,16,5,12
"742",18,17,17,20,16
"743",7,22,22,4,14
"744",2,4,3,20,4
"745",18,6,1,8,12
"746",18,23,23,11,22
"747",21,14,14,1,4
"748",2,20,20,25,9
"749",2,20,23,14,2
"750",7,10,22,22,4
"751",18,1,9,3,10
"752",2,2,3,4,3
